date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense,effective_tax_rate,implied_cost_of_debt,revenue_growth_1y,revenue_growth_3y,historical_ebit_margin,historical_capex_intensity,latest_shares_outstanding,latest_beta,latest_current_price,latest_roe,latest_net_margin,latest_enterprise_value,latest_market_cap,latest_debt_to_equity,revenue_ttm,ebit_ttm
2007-09-30,13762000000.0,,,,,,,,0.17914468514984846,,,,,,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,13762000000.0,
2007-12-31,16367000000.0,,,,,,,,0.17914468514984846,,,,,,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,30129000000.0,
2008-03-31,14454000000.0,,,,,,,,0.17914468514984846,,,,,,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,44583000000.0,
2008-06-30,15837000000.0,22271000000.0,3182000000.0,,,,6133000000.0,106000000.0,0.17914468514984846,,,,1.0,0.20092189177243164,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,60420000000.0,22271000000.0
2008-09-30,15061000000.0,5999000000.0,778000000.0,,,,1618000000.0,,0.17914468514984846,,0.0943903502397907,,0.3983135249983401,0.05165659650753602,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,61719000000.0,28270000000.0
2008-12-31,16629000000.0,5939000000.0,842000000.0,,,,1464000000.0,,0.17914468514984846,,0.016007820614651447,,0.35714715256479646,0.05063443382043418,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,61981000000.0,34209000000.0
2009-03-31,13648000000.0,4438000000.0,632000000.0,,,,1073000000.0,,0.17914468514984846,,-0.05576311055763106,,0.3251758499413834,0.04630715123094959,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,61175000000.0,38647000000.0
2009-06-30,13099000000.0,20363000000.0,3119000000.0,77888000000.0,,,5252000000.0,38000000.0,0.17914468514984846,,-0.17288627896697606,,1.0,0.2381097793724712,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,58437000000.0,36739000000.0
2009-09-30,12920000000.0,4482000000.0,435000000.0,81612000000.0,,,1191000000.0,38000000.0,0.17914468514984846,,-0.14215523537613706,,0.34690402476780186,0.0336687306501548,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,56296000000.0,35222000000.0
2009-12-31,19022000000.0,8513000000.0,811000000.0,82096000000.0,,,3412000000.0,38000000.0,0.17914468514984846,,0.14390522581033127,,0.4475344338134791,0.042634843864998426,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,58689000000.0,37796000000.0
2010-03-31,14503000000.0,18168000000.0,408000000.0,84910000000.0,,,1335000000.0,38000000.0,0.17914468514984846,,0.06264654161781946,,1.0,0.02813211059780735,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,59544000000.0,51526000000.0
2010-06-30,16039000000.0,24098000000.0,1977000000.0,86113000000.0,4900000000.0,,6253000000.0,151000000.0,0.17914468514984846,0.15,0.2244446140926788,,1.0,0.12326204875615687,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,62484000000.0,55261000000.0
2010-09-30,16195000000.0,7116000000.0,564000000.0,91540000000.0,9700000000.0,,1820000000.0,45000000.0,0.17914468514984846,0.15,0.25348297213622284,0.05576306933234876,0.43939487496140783,0.03482556344550787,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,65759000000.0,57895000000.0
2010-12-31,19953000000.0,8165000000.0,491000000.0,92306000000.0,9700000000.0,,1863000000.0,72000000.0,0.17914468514984846,0.15,0.04894332877720542,0.06826673918870285,0.4092116473713226,0.024607828396732322,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,66690000000.0,57547000000.0
2011-03-31,,5709000000.0,658000000.0,99727000000.0,11900000000.0,,4476000000.0,84000000.0,0.17914468514984846,0.15,0.37578432048541677,,,,7432540160,1.026,490.11,0.3361,0.35789,3668165001216,3642762199040,0.011771561514335623,52187000000.0,45088000000.0
